Ability,Dimension,Cohort,Trial
1.815392401,Science Identity,Year 1,Before
-1.294150591,Science Identity,Year 1,Before
3.960271423,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
1.456803036,Science Identity,Year 1,Before
1.127372394,Science Identity,Year 1,Before
1.127372394,Science Identity,Year 1,Before
-0.783636297,Science Identity,Year 1,Before
-1.294150591,Science Identity,Year 1,Before
2.239694219,Science Identity,Year 1,Before
0.805514298,Science Identity,Year 1,Before
1.815392401,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
-0.301573966,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
-0.783636297,Science Identity,Year 2,Before
2.239694219,Science Identity,Year 2,Before
-2.584763521,Science Identity,Year 2,Before
-4.274915942,Science Identity,Year 2,Before
-2.967997664,Science Identity,Year 2,Before
-2.967997664,Science Identity,Year 2,Before
-0.783636297,Science Identity,Year 2,Before
-0.301573966,Science Identity,Year 2,Before
-3.782023809,Science Identity,Year 2,Before
3.960271423,Science Identity,Year 2,Before
-0.783636297,Science Identity,Year 2,Before
3.960271423,Science Identity,Year 2,Before
-0.783636297,Science Identity,Year 3,Before
-0.783636297,Science Identity,Year 3,Before
-0.783636297,Science Identity,Year 3,Before
1.127372394,Science Identity,Year 3,Before
0.805514298,Science Identity,Year 3,Before
-1.766584924,Science Identity,Year 3,Before
-3.782023809,Science Identity,Year 3,Before
-3.359329206,Science Identity,Year 3,Before
-2.19074681,Science Identity,Year 3,Before
3.960271423,Science Identity,Year 3,Before
-6.210871841,Science Identity,Year 3,Before
2.8183989,Science Identity,Year 3,Before
2.239694219,Science Identity,Year 3,Before
0.112410688,Science Identity,Year 3,Before
-3.782023809,Science Identity,Year 3,Before
2.8183989,Science Identity,Year 3,Before
3.960271423,Science Identity,Year 3,Before
-0.783636297,Science Identity,Year 3,Before
2.239695007,Science Identity,Year 1,After
-0.301573859,Science Identity,Year 1,After
3.960271387,Science Identity,Year 1,After
0.473594505,Science Identity,Year 1,After
2.81839841,Science Identity,Year 1,After
1.81539302,Science Identity,Year 1,After
2.81839841,Science Identity,Year 1,After
2.81839841,Science Identity,Year 1,After
-0.783628914,Science Identity,Year 1,After
2.239695007,Science Identity,Year 1,After
0.805513796,Science Identity,Year 1,After
2.239695007,Science Identity,Year 1,After
0.112410688,Science Identity,Year 1,After
0.473594505,Science Identity,Year 1,After
1.127371902,Science Identity,Year 1,After
1.81539302,Science Identity,Year 1,After
1.456803024,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
2.239695007,Science Identity,Year 2,After
-1.294146857,Science Identity,Year 2,After
-1.766584923,Science Identity,Year 2,After
-0.783628914,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
1.81539302,Science Identity,Year 2,After
2.239695007,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
0.805513796,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
0.112410688,Science Identity,Year 3,After
-0.783628914,Science Identity,Year 3,After
-0.301573859,Science Identity,Year 3,After
3.960271387,Science Identity,Year 3,After
2.239695007,Science Identity,Year 3,After
-1.766584923,Science Identity,Year 3,After
-3.359334206,Science Identity,Year 3,After
1.127371902,Science Identity,Year 3,After
-0.301573859,Science Identity,Year 3,After
3.960271387,Science Identity,Year 3,After
1.456803024,Science Identity,Year 3,After
2.81839841,Science Identity,Year 3,After
2.239695007,Science Identity,Year 3,After
0.473594505,Science Identity,Year 3,After
0.805513796,Science Identity,Year 3,After
2.81839841,Science Identity,Year 3,After
3.960271387,Science Identity,Year 3,After
1.456803024,Science Identity,Year 3,After
1.666881921,Python Skills,Year 1,Before
2.846120655,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
1.026683142,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
5.979835649,Python Skills,Year 1,Before
1.666881921,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
1.026683142,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
3.143971973,Python Skills,Year 2,Before
4.157791855,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
1.026683142,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
4.611258599,Python Skills,Year 2,Before
2.515026438,Python Skills,Year 2,Before
