ID,Q25#1_1,Q25#1_2,Q25#1_3,Q25#1_4,Q25#1_5,Q25#1_6,Q25#1_7,Q25#1_8,Q25#1_9,Q25#1_10,Q25#2_1,Q25#2_2,Q25#2_3,Q25#2_4,Q25#2_5,Q25#2_6,Q25#2_7,Q25#2_8,Q25#2_9,Q25#2_10
1,5,5,4,3,5,4,4,3,4,4,5,5,2,2,3,2,4,1,4,4
2,4,4,4,4,4,5,4,4,4,4,4,4,1,2,2,1,3,3,3,3
3,5,4,5,4,5,5,5,5,5,5,5,4,4,2,4,4,5,4,5,4
4,4,4,3,4,4,4,3,4,4,3,3,3,2,1,3,2,3,3,4,3
5,5,5,4,5,5,5,5,5,4,3,5,5,2,3,4,1,4,4,4,4
6,5,4,4,4,4,4,5,4,5,4,4,3,2,4,2,1,5,4,5,4
7,4,3,2,3,4,4,3,4,4,4,4,3,1,2,2,1,4,3,3,3
8,4,5,4,4,5,4,4,4,5,5,3,3,3,3,3,3,3,3,3,3
9,4,3,3,3,5,4,4,4,4,5,4,2,1,1,4,1,4,4,4,5
10,5,4,4,4,5,4,4,2,3,5,5,4,1,2,3,1,3,2,3,5
11,4,4,4,4,4,4,3,4,4,4,3,4,2,2,3,2,3,4,4,4
12,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,3,4,2,5,5
13,5,4,3,4,4,4,4,4,4,4,5,3,2,4,2,1,4,3,4,4
14,5,3,4,4,4,4,4,4,4,4,5,3,2,2,3,2,4,4,4,4
15,5,5,4,4,5,4,5,5,5,5,4,3,3,3,4,3,4,4,4,4
16,5,4,4,4,5,4,5,5,5,5,5,4,2,2,4,2,4,4,4,4
17,5,5,5,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
18,5,4,4,5,4,5,5,4,4,5,2,2,1,3,3,1,4,2,4,4
19,4,4,4,5,5,5,5,5,5,5,1,3,1,1,1,1,2,2,2,4
20,5,4,5,5,5,5,5,5,5,5,2,1,1,1,2,1,1,3,2,4
21,4,4,4,4,5,4,4,3,4,4,4,3,3,2,5,2,3,3,3,3
22,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4
23,3,3,4,4,5,4,4,3,4,5,2,2,3,3,2,2,4,3,4,3
24,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
25,4,4,4,5,4,5,4,4,4,4,3,3,1,3,3,1,4,2,3,3
26,4,4,3,3,4,4,3,4,4,3,4,3,2,1,3,1,4,3,4,3
27,5,5,4,4,5,5,5,5,5,5,2,4,1,1,2,1,4,5,5,5
28,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
29,5,4,4,4,5,4,5,5,5,5,4,4,1,1,2,1,3,3,3,4
30,4,4,4,4,5,5,4,4,5,5,2,2,2,3,3,1,3,2,5,5
31,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
32,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
33,4,4,3,4,5,4,4,4,5,5,2,2,1,1,1,1,2,2,4,4
34,5,4,4,4,5,4,4,4,4,4,5,4,1,2,3,1,3,3,4,4
35,4,4,4,4,5,4,4,4,3,5,4,4,1,1,4,1,4,4,3,4
36,4,4,3,4,3,4,4,4,4,4,3,3,2,2,4,3,4,4,4,4
37,5,4,4,4,5,4,5,2,5,5,4,4,1,1,4,1,4,1,5,4
38,4,2,2,4,4,4,4,4,2,5,4,2,2,2,2,2,4,4,1,5
39,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,5,4,5,4
40,5,4,4,3,5,4,3,3,2,5,5,4,4,3,5,1,3,2,2,4
41,4,4,3,3,5,3,5,4,5,4,4,3,2,2,4,1,4,3,4,4
42,5,5,5,5,5,5,4,4,5,5,2,4,3,2,4,1,3,1,4,3
43,4,3,3,4,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
44,5,5,4,4,5,5,5,5,5,5,5,5,4,2,5,2,5,5,5,5
45,5,5,4,4,5,5,5,4,5,5,2,1,1,1,1,1,1,1,3,1
46,3,4,4,5,5,4,3,3,5,5,3,2,1,1,1,1,1,3,3,3
47,5,4,4,4,4,5,4,4,5,5,4,3,1,1,3,1,2,2,5,5
48,5,4,4,5,5,5,4,4,5,5,3,3,1,3,5,1,3,3,3,5
