ID,Q19#1_1,Q19#1_2,Q19#1_3,Q19#1_4,Q19#1_5,Q19#1_6,Q19#1_7,Q19#1_8,Q19#1_9,Q19#1_10,Q19#2_1,Q19#2_2,Q19#2_3,Q19#2_4,Q19#2_5,Q19#2_6,Q19#2_7,Q19#2_8,Q19#2_9,Q19#2_10
1,4,3,3,3,4,4,4,3,2,4,4,3,2,1,4,4,4,2,1,1
2,4,4,4,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,2,4,4,3,2,4,2,2,2,2,1,3,3,3,1,1
4,3,3,3,2,1,2,3,3,3,4,3,3,1,1,1,2,3,1,1,1
5,3,1,2,2,3,2,2,1,1,1,3,1,2,2,2,3,2,1,1,1
6,4,3,3,3,3,4,3,3,3,4,2,2,1,1,2,1,1,1,1,2
7,3,3,3,3,2,3,3,3,2,3,2,2,2,2,1,3,3,2,1,1
8,3,4,4,4,3,4,4,3,4,3,3,4,4,4,3,4,4,3,4,1
9,4,4,3,3,1,3,3,3,3,3,4,3,1,1,1,3,2,1,1,1
10,4,3,3,3,4,4,4,4,4,4,1,1,1,1,3,3,3,1,1,1
11,4,4,3,3,3,4,3,3,2,3,3,3,1,1,2,1,1,1,1,1
12,4,3,3,2,3,3,4,3,2,4,3,2,1,1,2,2,3,2,1,1
13,2,2,2,1,3,3,3,1,1,2,2,2,1,1,2,2,1,1,1,1
14,3,2,3,3,2,3,4,4,3,3,1,1,2,2,1,2,3,4,1,1
15,4,3,3,3,4,3,3,3,2,4,3,1,1,1,3,2,2,1,1,1
16,3,2,2,2,3,3,3,3,2,3,2,1,1,1,1,2,2,1,1,1
17,4,4,4,3,3,4,4,4,3,4,3,2,2,1,1,3,3,1,1,2
18,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,1,1
19,4,3,3,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1
20,4,3,4,3,4,4,4,4,4,4,1,1,2,1,3,1,2,1,1,2
21,4,4,4,2,2,3,2,3,3,4,2,3,3,2,2,3,3,3,3,2
22,4,3,3,3,3,4,4,4,3,4,3,2,2,2,2,3,3,3,2,3
23,4,4,4,3,4,4,4,4,4,4,1,1,2,1,3,2,2,2,2,1
24,3,3,3,2,3,3,3,3,2,3,3,1,1,1,3,3,3,1,1,1
25,3,2,3,3,3,3,2,4,2,4,1,2,3,2,2,2,2,3,2,3
26,2,3,3,2,1,3,3,2,1,2,1,1,2,1,1,2,2,1,1,1
27,4,3,3,3,3,3,3,4,4,4,2,1,1,1,1,1,1,1,1,1
28,4,3,3,3,3,4,4,4,3,4,2,1,1,1,1,2,2,1,1,1
29,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2
30,2,3,2,3,2,3,2,3,2,3,1,1,1,1,1,1,1,1,1,1
31,4,3,3,3,3,4,3,3,3,3,3,2,1,1,1,1,2,1,1,1
32,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
33,4,2,2,2,2,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1
34,3,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2
35,3,2,2,2,1,3,2,3,2,2,2,2,1,1,1,2,2,1,1,1
36,4,3,3,3,2,3,4,3,3,2,1,1,2,1,1,2,2,1,1,1
37,4,3,4,4,3,4,4,3,3,2,3,2,1,1,1,3,3,1,1,1
38,4,4,3,3,4,4,4,4,4,2,4,4,1,1,4,4,4,1,1,1
39,4,4,4,4,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1
40,3,3,3,3,3,3,4,3,3,3,2,2,1,1,1,2,1,2,2,1
41,4,2,3,3,2,4,3,3,2,4,1,1,1,1,1,1,1,1,1,1
42,2,3,4,3,2,3,4,3,4,4,2,2,3,3,2,2,3,3,3,4
43,4,2,4,4,3,4,4,4,4,4,3,1,2,2,1,3,2,2,1,1
44,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,4,2,1,1,1
45,3,3,3,3,2,3,3,3,3,2,3,2,1,2,1,3,3,1,1,1
46,4,4,4,3,3,3,4,4,4,4,2,2,1,1,1,2,2,2,4,1
